LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_LINEA;PLC1_AI_POT_ATTIVA;PLC1_AI_LT_BACINO;PLC1_AI_LT_BACINO2;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA DI LINEA [EW166];G1 : Potenza attiva prodotta Turbina [STRUMENTO];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];LIVELLO CA PREVITALI [PlcCaPrevitali];;;;;;;;;;;;;;;
12/01/2023 07:42:00;12/01/2023 06:42:00;14,2609;14,1029;32,3148;30;30,8669;22,0205;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:43:00;12/01/2023 06:43:00;14,3304;14,1029;32,2931;29,9712;28,1849;21,9988;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:44:00;12/01/2023 06:44:00;14,3427;14,1701;32,2381;30,2136;27,1961;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:45:00;12/01/2023 06:45:00;14,4121;14,1029;32,2917;30,126;25,4109;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:46:00;12/01/2023 06:46:00;14,4081;14,1029;32,1427;29,4552;23,0838;21,9866;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:47:00;12/01/2023 06:47:00;13,6315;12,6196;32,4045;22,6464;18,129;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:48:00;12/01/2023 06:48:00;6,83467;6,27533;32,7937;0;17,9474;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:49:00;12/01/2023 06:49:00;1,79937;0,2;32,8154;0;22,5908;21,9474;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:50:00;12/01/2023 06:50:00;0,986038;0,2;32,8385;0;24,9503;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:51:00;12/01/2023 06:51:00;0,896123;0,2;32,8443;0;26,0583;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:52:00;12/01/2023 06:52:00;0,965604;0,2;32,9225;0;32,346;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:53:00;12/01/2023 06:53:00;0,981952;0,2;32,908;0;33,5489;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:54:00;12/01/2023 06:54:00;0,949255;0,2;32,9615;0;35,8217;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:55:00;12/01/2023 06:55:00;0,859339;0,2;32,947;0;38,3547;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:56:00;12/01/2023 06:56:00;0,904297;0,2;32,9297;0;39,4654;21,969;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:57:00;12/01/2023 06:57:00;0,916558;0,2;32,921;0;41,5433;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:58:00;12/01/2023 06:58:00;0,84299;0,2;32,8704;0;42,2395;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 07:59:00;12/01/2023 06:59:00;0,879774;0,2;33,015;0;42,3316;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:00:00;12/01/2023 07:00:00;0,92882;0,2;32,921;0;42,7948;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:01:00;12/01/2023 07:01:00;0,900209;0,2;33,0382;0;42,8869;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:02:00;12/01/2023 07:02:00;0,904297;0,2;33,0367;0;42,8951;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:03:00;12/01/2023 07:03:00;0,945168;0,2;33,0512;0;43,1714;21,9514;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:04:00;12/01/2023 07:04:00;0,875687;0,2;33,2943;0;43,2554;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:05:00;12/01/2023 07:05:00;0,941081;0,2;33,002;0;42,8869;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
12/01/2023 08:06:00;12/01/2023 07:06:00;0,887949;0,2;33,0223;0;42,979;21,9975;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
