LocalCol;TimeCol;PLC1_AI_FT_PORT_IST;PLC1_AI_POS_GETTO1;PLC1_AI_PT_TURBINA;PLC1_AI_POT_ATTIVA;PLC1_AI_POS_GETTO2;PLC1_AI_LT_BACINO;FREE6;FREE7;FREE8;FREE9;FREE10;FREE11;FREE12;FREE13;FREE14;FREE15;FREE16;FREE17;FREE18;FREE19;Info
;;MISURATORE DI PORTATA [EW168];POSIZIONE GETTO 1 [EW64];PRESSIONE ACQUA TURBINA [EW164];G1 : Potenza attiva prodotta Turbina [STRUMENTO];POSIZIONE GETTO 2 [EW66];LIVELLO ALL'OPERA DI PRESA [PlcOperaP];;;;;;;;;;;;;;;
02/08/2023 12:00;02/08/2023 10:00;28,2878;26,388;30,6279;72,8856;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 12:15;02/08/2023 10:15;33,0697;30,9762;29,7251;82,8228;0;38,1705;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 12:30;02/08/2023 10:30;28,3246;26,0914;30,2054;71,07;0;39,4654;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 12:45;02/08/2023 10:45;15,438;15,1827;30,9216;34,7112;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 13:00;02/08/2023 11:00;19,5823;18,7582;30,7393;47,7108;0;40,0208;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 13:15;02/08/2023 11:15;14,8331;15,1827;31,0836;33,9072;0;40,8497;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 13:30;02/08/2023 11:30;15,6587;15,9935;31,101;37,7628;0;40,6682;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 13:45;02/08/2023 11:45;23,5468;22,2033;30,8131;59,43;0;40,1129;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 14:00;02/08/2023 12:00;16,1819;15,5901;31,0576;36,0636;0;40,4813;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 14:15;02/08/2023 12:15;17,4897;17,6943;30,9274;43,9176;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 14:30;02/08/2023 12:30;17,2527;16,9388;30,8464;40,1316;0;40,2971;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 14:45;02/08/2023 12:45;14,1833;14,6447;30,9042;31,2396;0;40,1887;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
02/08/2023 15:00;02/08/2023 13:00;14,0566;14,6447;30,9491;31,6356;0;40,3892;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
