,x__TimeStamp,PLC1_AI_PT_LINEA,PLC1_AI_PT_TURBINA,PLC1_AI_POT_ATTIVA,PLC1_AI_FT_PORT_IST,PLC1_AI_COSPHI,PLC1_AI_LT_STRAMAZZO
11038,20/09/2022 14:30:00,32.8124,32.1632,0.0,0.3897,0.0000,0.0000
11039,20/09/2022 14:45:00,32.8032,32.1582,0.0,0.3952,0.0000,0.0000
11040,20/09/2022 15:00:00,32.7664,32.1273,0.0,0.3953,0.0000,0.0000
11041,20/09/2022 15:15:00,32.7646,32.1251,0.0,0.3937,0.0000,0.0000
11042,20/09/2022 15:30:00,32.861,32.2209,0.0,0.4004,0.0000,0.0000
11043,20/09/2022 15:45:00,32.9138,32.2733,0.0,0.403,0.0000,0.0000
11044,20/09/2022 16:00:00,32.7531,32.1106,0.0,0.3978,0.0000,0.0000
11045,20/09/2022 16:15:00,32.6969,32.0542,0.0,0.4019,0.0000,0.0000
11046,20/09/2022 16:30:00,32.7078,32.0633,0.0,0.3991,0.0000,0.0000
11047,20/09/2022 16:45:00,32.7065,32.0583,0.0,0.411,0.0000,0.0000
11048,20/09/2022 17:00:00,32.4889,31.8406,0.0,0.3974,0.0000,0.0000
11049,20/09/2022 17:15:00,32.3127,31.6562,0.0,0.3988,0.0000,0.0000
11050,20/09/2022 17:30:00,32.2119,31.5506,0.0,0.4091,0.0000,0.0000
11051,20/09/2022 17:45:00,32.0412,31.3828,0.0,0.39,0.0000,0.0000
11052,20/09/2022 18:00:00,32.0927,31.4332,0.0,0.388,0.0000,0.0000
11053,20/09/2022 18:15:00,32.2868,31.6232,0.0,0.3861,0.0000,0.0000
11054,20/09/2022 18:30:00,32.283,31.615,0.0,0.3971,0.0000,0.0000
11055,20/09/2022 18:45:00,32.2861,31.6174,0.0,0.3884,0.0000,0.0000
11056,20/09/2022 19:00:00,32.3495,31.6777,0.0,0.3941,0.0000,0.0000
11057,20/09/2022 19:15:00,32.3439,31.677,0.0,0.4075,0.0000,0.0000
11058,20/09/2022 19:30:00,32.442,31.7714,0.0,0.4137,0.0000,0.0000
11059,20/09/2022 19:45:00,32.5716,31.9042,0.0,0.401,0.0000,0.0000
11060,20/09/2022 20:00:00,32.6339,31.9666,0.0,0.4095,0.0000,0.0000
11061,20/09/2022 20:15:00,32.6844,32.0155,0.0,0.3991,0.0000,0.0000
11062,20/09/2022 20:30:00,32.6912,32.0213,0.0,0.4036,0.0000,0.0000
11063,20/09/2022 20:45:00,32.8874,32.2136,0.0,0.3918,0.0000,0.0000
11064,20/09/2022 21:00:00,32.9652,32.2905,0.0,0.3994,0.0000,0.0000
11065,20/09/2022 21:15:00,32.9834,32.3011,0.0,0.3945,0.0000,0.0000
11066,20/09/2022 21:30:00,32.946,32.2655,0.0,0.3942,0.0000,0.0000
11067,20/09/2022 21:45:00,33.0157,32.3343,0.0,0.396,0.0000,0.0000
11068,20/09/2022 22:00:00,33.0654,32.382,0.0,0.3856,0.0000,0.0000
11069,20/09/2022 22:15:00,33.0874,32.4014,0.0,0.4026,0.0000,0.0000
11070,20/09/2022 22:30:00,33.0794,32.3909,0.0,0.3972,0.0000,0.0000
11071,20/09/2022 22:45:00,33.048,32.3636,0.0,0.3907,0.0000,0.0000
11072,20/09/2022 23:00:00,33.1231,32.4378,0.0,0.3953,0.0000,0.0000
11073,20/09/2022 23:15:00,33.2614,32.5727,0.1014,0.5262,0.0085,0.0085
11074,20/09/2022 23:30:00,33.0589,32.346,15.3386,6.9874,0.3363,0.3363
11075,20/09/2022 23:45:00,32.9984,32.2797,17.923,8.4638,0.3759,0.3759
11076,21/09/2022 00:00:00,33.0386,32.3188,17.9555,7.9084,0.3752,0.3752
11077,21/09/2022 00:15:00,33.1768,32.4593,10.1824,4.3604,0.1806,0.1806
11078,21/09/2022 00:30:00,33.1745,32.4628,8.1914,4.9896,0.2098,0.2098
11079,21/09/2022 00:45:00,33.0363,32.3106,14.3472,7.0453,0.3216,0.3216
11080,21/09/2022 01:00:00,33.1271,32.4014,13.2612,5.5586,0.2872,0.2872
11081,21/09/2022 01:15:00,33.088,32.3789,1.1719,1.7344,0.0481,0.0481
11082,21/09/2022 01:30:00,33.0805,32.3743,0.0,0.4325,0.0000,0.0000
11083,21/09/2022 01:45:00,33.2004,32.4906,0.0,0.4326,0.0000,0.0000
11084,21/09/2022 02:00:00,33.2497,32.5379,0.0,0.4235,0.0000,0.0000
11085,21/09/2022 02:15:00,33.1732,32.4653,0.0,0.417,0.0000,0.0000
11086,21/09/2022 02:30:00,33.1965,32.4859,0.0,0.4017,0.0000,0.0000
11087,21/09/2022 02:45:00,33.3926,32.6827,0.0,0.4151,0.0000,0.0000
11088,21/09/2022 03:00:00,33.0915,32.3698,11.7062,6.1161,0.2678,0.2678
11089,21/09/2022 03:15:00,33.3504,32.6381,0.0,0.4392,0.0000,0.0000
11090,21/09/2022 03:30:00,33.1522,32.4197,14.3042,6.6315,0.2864,0.2864
11091,21/09/2022 03:45:00,33.308,32.583,4.4672,1.8949,0.1059,0.1059
11092,21/09/2022 04:00:00,33.0489,32.3299,6.1535,4.0087,0.1609,0.1609
11093,21/09/2022 04:15:00,33.0773,32.3618,0.0,0.4433,0.0000,0.0000
11094,21/09/2022 04:30:00,33.0792,32.3684,0.0,0.4271,0.0000,0.0000
11095,21/09/2022 04:45:00,33.0163,32.3058,0.0,0.4136,0.0000,0.0000
11096,21/09/2022 05:00:00,32.9605,32.2472,0.0,0.4229,0.0000,0.0000
11097,21/09/2022 05:15:00,32.9084,32.1968,0.0,0.423,0.0000,0.0000
11098,21/09/2022 05:30:00,32.867,32.1576,0.0,0.4091,0.0000,0.0000
11099,21/09/2022 05:45:00,32.9036,32.1902,0.0,0.4031,0.0000,0.0000
11100,21/09/2022 06:00:00,32.89,32.1729,0.0,0.3959,0.0000,0.0000
11101,21/09/2022 06:15:00,32.8317,32.1177,0.0,0.3999,0.0000,0.0000
11102,21/09/2022 06:30:00,32.8401,32.1279,0.0,0.4053,0.0000,0.0000
11103,21/09/2022 06:45:00,32.872,32.1518,0.0,0.4086,0.0000,0.0000
11104,21/09/2022 07:00:00,32.9636,32.2424,0.0,0.4042,0.0000,0.0000
11105,21/09/2022 07:15:00,32.8593,32.1415,0.0,0.4199,0.0000,0.0000
11106,21/09/2022 07:30:00,32.8622,32.1426,0.0,0.418,0.0000,0.0000
11107,21/09/2022 07:45:00,32.8469,32.1261,0.0,0.4182,0.0000,0.0000
11108,21/09/2022 08:00:00,32.9234,32.2065,0.0,0.4243,0.0000,0.0000
11109,21/09/2022 08:15:00,32.9341,32.2155,0.0,0.4178,0.0000,0.0000
11110,21/09/2022 08:30:00,32.9075,32.1953,0.0,0.4169,0.0000,0.0000
11111,21/09/2022 08:45:00,32.8795,32.1657,0.0,0.4185,0.0000,0.0000
11112,21/09/2022 09:00:00,32.9224,32.2113,0.0,0.4097,0.0000,0.0000
11113,21/09/2022 09:15:00,32.8222,32.1147,0.0,0.4274,0.0000,0.0000
11114,21/09/2022 09:30:00,32.9588,32.253,0.0,0.421,0.0000,0.0000
11115,21/09/2022 09:45:00,33.0563,32.3512,0.0,0.417,0.0000,0.0000
11116,21/09/2022 10:00:00,33.1582,32.4566,0.0,0.4091,0.0000,0.0000
11117,21/09/2022 10:15:00,33.0279,32.3293,0.0,0.4026,0.0000,0.0000
11118,21/09/2022 10:30:00,32.9397,32.2438,0.0,0.4186,0.0000,0.0000
